ID,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
49428,0,-2.07,-3.87,0.83
50272,0,-0.78,-8.21,-4.12
50417,0,7.68,11.04,-0.32
50433,0,-1.32,-1.24,0.79
50719,0,-4.78,-2.21,-4.12
50719,0,-4.32,-1.96,-1.32
50834,0,1.22,-3.21,-0.12
50834,0,1.68,-2.96,2.68
52782,0,-0.91,0.03,-1.12
53575,0,-3.91,-3.97,0.88
53854,0,-5.32,-0.96,7.68
54297,0,2.09,3.03,-3.12
54297,0,0.85,2.06,1.11
55355,0,1.68,3.76,-0.21
55355,0,2.11,4.99,3.97
55444,1,5.93,9.13,0.83
55557,0,4.1,2.74,-2.1
56664,0,2.93,7.13,2.83
57066,0,4.93,9.13,1.83
57066,0,5.05,7.29,4.33
57597,0,5.41,3.62,-3.72
57597,0,5.05,3.65,0.62
57714,0,8.41,10.62,-2.72
57714,1,8.05,10.65,1.62
57714,1,8.26,11.55,5.32
57812,0,-1.89,-3.01,0.97
57812,0,-2.78,-2.21,3.88
57829,0,5.22,0.79,1.88
57829,0,5.68,1.04,4.68
57864,0,1.05,0.65,-3.38
57864,0,1.26,1.55,0.32
57864,0,2.9,3.7,3.6
58042,0,-1.91,-3.97,-0.12
58042,1,-3.15,-4.94,4.11
58300,0,1.9,3.7,-1.4
58533,0,-2.89,-4.01,0.97
58909,0,-1.32,-1.24,-4.21
58909,0,-0.89,-0.01,-0.03
60447,0,-2.32,-1.24,-0.21
60466,0,-0.91,5.03,1.88
60774,0,4.91,8.85,-4.91
60774,0,4.09,8.03,-0.12
61526,0,2.26,4.55,-2.68
62250,0,-4.07,-1.87,-0.17
62284,0,5.22,1.79,-2.12
62799,0,0.68,-6.96,-2.32
62799,0,-0.59,-9.38,3.28
63807,0,-1.15,8.06,-1.89
63807,1,-1.44,9.28,5.88
63875,0,1.05,-4.35,-3.38
64317,0,4.68,2.76,-1.21
64317,0,4.22,4.79,5.88
64488,0,-7.44,-11.72,-1.12
64867,0,1.68,3.76,-1.21
65014,0,-3.09,1.85,-2.91
65198,0,-0.78,2.79,-1.12
65198,0,-0.32,3.04,1.68
65276,0,2.93,8.13,3.83
65295,0,2.1,8.24,3.9
65402,1,0.93,1.13,3.83
65402,2,1.05,-0.71,6.33
65950,0,-6.15,-6.44,-0.89
65950,0,-6.9,-5.26,3.9
66005,0,-0.07,-1.87,-4.17
66533,0,0.91,1.85,2.09
67092,0,-4.32,-9.96,-1.32
67552,0,5.09,2.03,-4.12
67868,0,-2.44,-10.72,-5.12
67868,0,-3.32,-13.24,-1.21
67887,0,-7.32,-7.24,-6.21
68870,0,6.85,10.06,4.11
68996,0,-5.09,-6.15,-4.91
68996,0,-5.91,-6.97,-0.12
68996,0,-7.15,-7.94,4.11
69141,0,-2.78,-4.21,-1.12
69141,0,-2.32,-3.96,1.68
69276,0,-5.59,-7.38,-3.72
70812,0,-7.59,-7.38,-0.72
70935,0,-0.78,7.79,0.88
70935,0,-0.32,8.04,3.68
70935,0,-1.59,5.62,9.28
71193,0,2.11,5.99,-3.03
71222,0,-0.09,5.85,3.09
71548,0,1.41,5.62,0.28
72098,0,-1.9,-0.76,0.9
72693,0,-0.91,2.03,-2.12
72693,1,-2.15,1.06,2.11
72907,0,7.68,7.04,-5.32
72907,0,6.41,4.62,0.28
73149,0,-0.32,-3.96,-0.32
73468,0,-5.78,0.79,-0.12
73468,0,-5.32,1.04,3.68
73468,0,-6.59,-1.38,9.28
74350,0,1.91,1.85,6.09
74428,0,-1.91,-0.97,-6.12
74917,0,-1.15,3.06,-2.89
75031,0,-4.07,-3.87,1.83
75663,0,-9.59,-7.38,-1.72
75663,0,-9.95,-7.35,2.62
76987,0,-3.74,-9.45,-5.68
76987,0,-2.1,-7.3,-2.4
77963,0,-3.9,-4.76,-0.1
77963,0,-3.44,-4.72,2.88
78235,0,6.11,-0.01,-5.03
78240,0,1.93,3.13,8.83
78463,0,-16.32,-12.24,-0.21
79588,0,-4.07,-6.87,-2.17
79625,0,5.26,-0.45,-2.68
79867,0,-2.44,-6.72,0.88
79867,0,-3.32,-9.24,4.79
79867,0,-2.89,-8.01,8.97
81278,0,-0.89,-1.01,-2.03
82187,0,0.05,0.29,-4.67
82187,0,-1.91,-0.97,3.88
82407,0,-2.32,-7.24,-0.21
82535,0,10.56,10.28,-5.12
82535,0,10.11,8.99,1.97
82638,0,-1.59,-7.38,-2.72
82844,0,-2.07,-9.87,2.83
83019,0,-6.07,-6.87,2.83
83062,0,5.11,-8.01,-1.03
83062,0,4.22,-7.21,1.88
83303,0,-3.89,-3.01,-2.03
83800,0,0.11,4.99,2.97
83811,0,-10.91,-6.97,1.88
83879,0,1.68,-5.96,-0.32
84301,0,-8.1,-11.3,-1.4
84849,0,2.11,-6.01,1.97
84849,0,1.22,-5.21,4.88
85557,0,-3.74,3.55,1.32
86237,0,0.05,-3.35,0.62
86239,0,1.1,5.24,-2.1
86823,0,-3.89,-2.01,-3.03
86823,0,-4.78,-1.21,-0.12
86823,0,-4.32,-0.96,2.68
86823,1,-5.59,-3.38,8.28
87651,0,-0.78,-1.21,3.88
87853,0,3.68,5.76,-0.21
88352,0,3.41,-0.38,-2.72
88587,0,-0.32,2.76,-0.21
90386,0,10.93,3.13,-3.17
90587,0,7.05,5.65,-0.38
90632,0,1.22,-5.21,0.88
91295,0,7.68,13.04,-3.32
91295,0,6.41,10.62,1.28
91295,0,6.05,10.65,5.62
91689,0,-7.59,-2.38,-2.72
91689,0,-7.95,-2.35,1.62
92971,0,4.68,5.76,-6.21
92971,0,5.11,6.99,-2.03
92971,1,4.22,7.79,0.88
93459,0,2.09,2.03,0.88
93499,0,1.85,-1.94,1.11
94811,0,-0.15,4.06,1.11
95146,0,-7.78,-7.21,-0.12
95290,0,6.22,4.79,-1.12
95431,0,2.68,-0.24,-1.21
95431,0,3.11,0.99,2.97
95431,0,2.22,1.79,5.88
95637,0,-1.32,7.76,-0.21
95637,0,-0.89,8.99,3.97
95664,0,11.41,9.62,-1.72
95664,0,11.05,9.65,2.62
96375,0,-2.78,-9.21,-1.12
96482,0,-2.9,-14.76,1.9
97751,0,5.41,-2.38,-4.72
97751,0,5.05,-2.35,-1.38
98113,0,2.11,2.99,-1.03
98383,0,2.41,2.62,-1.72
98449,0,-2.95,-5.35,0.62
98523,0,-17.09,-17.15,-1.91
99304,0,-0.32,4.04,-0.32
100488,0,5.68,4.76,6.79
102375,0,0.1,0.24,-6.1
102596,0,-4.78,-1.21,-4.12
103333,0,-1.44,1.28,-1.12
103812,0,6.68,10.04,-3.32
104884,0,-10.1,-9.3,-4.4
104940,0,-4.15,-5.94,1.11
105718,0,3.93,6.13,1.83
105718,0,4.05,4.29,4.33
106726,0,11.68,5.76,-2.21
107053,0,-2.32,-6.96,2.68
107348,0,2.09,3.03,-2.12
107413,0,0.41,3.62,4.28
107482,0,-5.95,-6.35,-4.38
107521,0,-0.91,-0.97,-0.12
107787,0,3.85,-7.94,-1.89
107889,0,9.41,3.62,-2.72
108127,0,-2.32,3.04,-2.32
108127,1,-3.59,0.62,3.28
108127,2,-3.95,0.65,7.62
108127,2,-3.74,1.55,11.32
108736,0,-3.95,12.65,-0.38
108796,0,-2.95,-3.71,-3.67
109888,0,1.68,2.76,-3.21
109930,0,1.26,-4.45,-4.68
110051,0,-1.95,-1.35,-2.38
111180,0,-2.91,-6.97,-2.12
111234,0,-1.07,-10.87,-3.17
111319,0,-3.74,-6.45,-0.68
111319,0,-2.1,-4.3,2.6
111434,0,6.05,0.65,0.62
111775,0,-2.91,-3.97,-2.12
111775,0,-4.15,-4.94,2.11
111784,0,-3.44,0.28,-2.12
111977,0,0.91,-3.15,-4.91
112124,0,-0.09,0.85,-2.91
112124,0,-0.91,0.03,1.88
112151,0,1.41,6.62,-0.72
112151,0,1.05,6.65,3.62
112237,0,-5.89,-4.01,-1.03
112353,0,0.41,2.62,-2.72
112353,0,0.05,2.65,1.62
112358,0,6.68,10.76,-4.21
112358,0,7.11,11.99,-1.03
112358,0,6.22,12.79,1.88
112981,0,-5.44,-6.72,-3.12
112981,0,-6.32,-9.24,0.79
114426,0,-1.15,2.06,-3.89
114426,0,-1.9,3.24,0.9
114611,0,-2.44,-4.72,-1.12
114611,0,-3.32,-7.24,2.79
114815,0,9.85,6.06,-0.89
115520,0,-1.95,-1.71,0.33
115852,0,-5.15,-7.94,0.11
115990,0,-14.07,-11.87,1.83
116102,0,-8.95,-19.35,-5.38
116102,1,-8.74,-18.45,-1.68
116102,2,-7.1,-16.3,1.6
116761,0,-6.07,-0.87,-5.17
116834,0,-4.95,-10.71,1.33
117004,0,2.26,-1.45,-4.68
117212,0,1.9,6.7,-5.4
117287,0,4.05,4.65,-2.38
117312,0,4.26,7.55,2.32
117317,0,-4.32,-3.24,-4.21
117317,0,-3.89,-2.01,-1.03
117317,0,-4.78,-1.21,1.88
117431,0,2.1,1.24,1.9
117854,0,4.9,6.7,-0.4
118637,0,-0.32,-2.24,1.79
119253,0,0.41,2.62,-1.72
119795,0,-6.07,-1.87,-3.17
119795,0,-5.95,-3.71,0.33
119898,0,-3.15,6.06,-7.89
119898,0,-3.9,7.24,-3.1
119898,1,-3.44,7.28,-0.12
119898,2,-4.32,4.76,4.79
120187,0,0.05,-3.71,4.33
120187,0,-1.09,-4.15,8.09
120261,0,1.91,3.85,0.09
120382,0,4.93,4.13,2.83
121064,0,-3.1,-7.3,-3.4
121078,0,1.91,2.85,3.09
121724,0,0.91,0.85,2.09
122719,0,-2.59,-2.38,-2.72
123192,0,-0.1,-0.3,-3.4
123233,0,-5.59,-1.38,-4.72
123562,0,6.26,8.55,0.32
123562,0,7.9,10.7,3.6
123939,0,9.68,7.76,-2.21
124147,0,1.05,3.65,0.62
124147,0,1.26,4.55,4.32
124432,0,-2.1,-3.3,-1.4
125759,0,-5.09,-14.15,-5.91
125990,0,-1.78,-2.21,-2.12
125990,0,-1.32,-1.96,0.68
126244,0,12.56,15.28,-3.12
126260,0,-7.89,0.99,-1.03
