ID,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
41634,1,-4.19,-7.62,7.28
118855,3,6.16,7.13,6.71
87651,0,6.94,8.69,4.05
17476,0,-0.68,1.93,0.7
48143,0,4.68,8.15,7.4
69210,8,7.68,6.15,5.4
77470,0,1.94,9.69,-4.95
73758,0,22.43,65.27,-0.18
105429,1,8.98,5.16,0.77
45314,0,7.51,-6.45,-3.03
67307,0,-4.19,4.38,-1.72
36996,0,3.93,9.12,-4.23
88073,2,13.45,52.54,2.7
77519,1,1.38,-1.88,5.83
113380,0,12.68,6.15,-1.6
36933,3,-1.06,-2.31,2.05
74084,1,2.5,-4.07,4.14
104586,0,1.43,-6.73,-1.18
42289,0,-0.55,-7.46,-0.3
38764,0,-3.47,-8.44,4.95
46275,0,26.1,45.52,-0.61
112036,0,0.93,-0.88,4.77
15730,0,6.53,6.56,-7.05
94777,0,9.85,1.36,-3.88
121412,0,4.1,-1.48,6.39
77152,1,12.1,55.52,6.39
70827,0,-12.5,-9.07,3.14
21851,0,-3.06,2.69,-5.95
78964,2,10.1,11.52,3.39
120441,0,0.98,3.16,-4.23
97832,0,2.85,-9.64,3.12
30123,0,-6.06,-0.31,1.05
12086,3,-0.9,5.52,-0.61
92691,0,-5.07,-6.88,5.77
66200,0,-8.32,-3.85,-4.6
112207,1,-1.68,-4.07,1.7
22418,0,8.98,11.16,-3.23
16209,0,16.5,47.93,0.14
15975,0,3.32,6.93,-1.3
131761,1,15.5,2.93,-1.86
27366,0,-3.55,-10.46,4.7
13029,5,15.1,20.52,2.39
131609,0,1.5,4.93,-1.86
32352,0,1.32,-6.07,-0.3
86915,0,4.93,0.12,-0.23
5106,0,-1.5,-7.07,-1.86
25906,0,0.43,8.27,-5.18
73810,0,4.5,25.93,4.14
108127,1,4.38,11.12,2.83
46839,1,4.45,13.54,-4.3
57104,0,-1.06,-2.31,2.05
38730,0,-5.62,-1.88,1.83
12946,2,-5.49,-1.45,-0.03
11673,0,6.1,-2.48,-2.61
16973,0,7.85,7.36,1.12
21954,1,-0.84,-4.87,-5.29
95426,0,0.68,-9.85,0.4
106265,0,4.32,21.93,-3.3
94469,0,3.38,-3.88,-0.17
24043,1,7.32,0.93,-0.3
116102,1,-0.84,-8.87,-2.29
22207,3,-4.19,-17.62,2.28
125422,0,6.38,25.12,-4.17
411,0,-15.49,-18.45,-4.03
88881,0,2.38,65.12,0.83
131284,0,-6.49,-17.45,-5.03
117950,0,-1.57,-14.73,-2.18
25546,1,5.85,9.36,8.12
5702,0,11.68,46.15,3.4
25631,0,6.45,-4.46,0.7
121078,0,7.93,14.12,3.77
13029,6,15.1,20.52,2.39
42993,0,7.68,5.15,-6.6
55653,0,0.81,1.38,-4.72
11839,0,-7.32,-15.85,-3.6
126475,0,1.81,1.38,-0.72
115509,0,16.16,40.13,-5.29
80853,0,6.16,-7.87,3.71
93670,0,-8.32,-11.85,6.4
40609,0,14.94,-16.31,-4.95
26019,0,-0.32,-8.85,9.4
84934,0,1.38,-8.88,4.83
110131,0,-5.32,-11.85,-6.6
75560,0,3.32,-6.07,3.7
3350,0,-10.32,-5.85,0.4
36901,0,-0.19,-5.62,1.28
87268,0,8.38,2.12,1.83
38744,0,-8.55,-9.46,2.7
104985,0,5.1,15.52,0.39
105690,0,-5.07,0.12,-0.23
5663,0,-0.55,13.54,9.7
114426,0,6.5,15.93,0.14
104003,0,-11.19,-8.62,0.28
90922,2,4.98,-0.84,12.77
10907,0,-3.02,-9.84,-2.23
23711,1,7.5,17.93,4.14
17943,0,-12.9,-14.48,1.39
87550,0,-1.62,-10.88,0.83
86581,0,-4.19,-6.62,-2.72
133637,0,-6.02,-12.84,2.77
40610,0,-0.9,4.52,2.39
26019,0,0.81,-6.62,2.28
83607,0,3.93,25.12,-6.23
84940,0,-16.57,-0.73,-5.18
10188,1,-9.68,-9.07,0.7
74570,0,-1.57,-3.73,-6.18
92681,0,-4.02,-4.84,-0.23
91384,0,4.16,33.13,0.71
80824,0,-5.19,-7.62,-0.72
67479,0,-14.5,-19.07,2.14
804,0,-1.84,2.13,-3.29
126095,0,6.38,53.12,1.83
26107,0,5.68,-1.85,-0.6
42969,0,-5.15,-5.64,-5.88
55355,0,10.32,17.93,-0.3
45145,0,-1.07,-3.88,11.77
19635,0,-4.57,-3.73,-3.18
17023,0,-3.02,-1.84,-4.23
7014,0,13.1,5.52,-1.61
120795,0,5.16,23.13,-8.29
126050,0,-3.57,-8.73,9.82
108726,0,9.94,3.69,-3.95
115380,0,-0.49,-1.45,-4.03
98143,1,1.53,-11.44,-5.05
4032,0,-6.02,-12.84,-3.23
113208,0,3.51,-6.45,-0.03
8603,0,-3.84,-11.87,6.71
461,0,-4.02,-11.84,0.77
76471,0,-5.32,-0.85,-2.6
1711,0,-13.32,-0.85,-2.6
40610,0,-1.84,2.13,-1.29
83834,0,-5.19,-5.62,3.28
16096,0,-9.62,-6.88,0.83
37908,0,5.68,15.15,1.4
23084,0,7.53,5.56,-4.05
55935,0,-1.06,-5.31,-5.95
15418,0,-9.06,-14.31,3.05
90482,0,-3.19,-11.62,2.28
117950,1,-1.84,-14.87,1.71
511,0,-2.9,-13.48,6.39
44612,0,8.81,15.38,4.28
717,0,5.81,-10.62,-2.72
79915,1,3.93,6.12,-3.23
29625,0,13.94,10.69,0.05
112981,0,2.81,6.38,-2.72
77260,0,-4.02,-15.84,1.77
95386,0,1.16,-1.87,-1.29
58366,0,-13.5,-27.07,1.14
131762,0,0.93,2.12,4.77
34421,0,-11.5,-15.07,-0.86
22908,0,4.85,5.36,-0.88
57382,0,-9.02,-11.84,-7.23
131739,0,10.53,7.56,1.95
132777,0,-6.49,-22.45,2.97
34006,0,6.93,41.12,-3.23
42726,0,20.38,25.12,-3.17
10043,0,4.51,4.55,5.97
28268,0,-5.68,-10.07,-7.3
43949,0,20.81,56.38,-1.72
96336,0,4.93,4.12,1.77
22919,0,-6.02,-6.84,-5.23
6389,0,1.51,-11.45,-4.03
91464,0,-8.62,-9.88,-4.17
76189,0,-6.02,-19.84,0.77
81060,1,8.16,-0.87,0.71
27859,0,6.81,9.38,4.28
59036,0,0.32,1.93,-6.3
65488,0,-8.9,-16.48,-6.61
6373,0,1.98,-7.84,-1.23
24705,0,1.1,5.52,1.39
27643,0,14.1,43.52,-6.61
44114,0,3.32,31.93,0.7
37037,0,11.32,18.93,1.7
129760,0,1.85,13.36,-1.88
106731,0,2.93,2.12,0.77
115,0,0.68,0.15,-1.6
58446,0,-5.06,-2.31,-2.95
132469,1,1.45,7.54,5.7
111480,0,5.53,12.56,3.95
28184,0,5.32,-0.07,-1.3
52716,0,6.32,1.93,-4.3
68989,0,16.38,0.12,-0.17
104905,0,-1.07,-7.88,-3.23
1405,0,1.1,-18.48,-1.61
93391,0,-7.07,-8.88,-3.23
88346,0,-0.9,-12.48,-3.61
109424,0,11.93,24.12,4.77
