ID,MedalEarned
402,0
402,0
888,0
888,0
1069,0
2045,0
3360,0
4024,0
4115,0
4171,0
4172,0
4172,0
4366,0
4630,0
4673,0
4866,0
4866,0
5383,0
5991,1
5991,0
6050,0
6101,0
6123,0
6123,1
6123,1
6165,0
6165,0
6989,0
7137,0
7137,0
7564,0
8049,0
8049,0
8143,0
8143,0
9249,0
9416,0
9998,1
10043,0
10043,0
10043,0
10170,0
10681,0
10681,0
10879,0
11139,0
11139,0
11350,0
11433,0
12153,0
12351,0
12351,0
12475,0
12554,0
13434,0
13555,0
14039,0
14143,0
14768,0
15095,0
15095,0
15280,0
15304,0
15375,0
16022,0
16022,0
16719,0
16819,1
16819,0
17201,0
18383,0
18759,0
20178,0
20791,0
20907,0
21947,1
21947,1
22227,0
22227,0
23008,0
23540,0
23540,0
23824,0
24741,0
24811,0
25071,0
25524,0
26496,0
26793,0
26793,0
28130,0
28222,0
28455,0
28763,0
28823,0
28842,0
29625,0
29940,0
30006,0
30104,0
30221,0
30221,0
30379,0
30379,0
30920,0
30920,0
31001,1
31001,0
31001,0
31125,0
31205,1
31205,1
31458,0
31808,0
32478,0
32771,0
33005,0
33112,0
34559,0
34559,0
34805,0
35047,0
35047,0
35916,0
37036,0
37036,0
37037,0
37278,0
37771,0
37908,0
37908,0
37939,0
38357,0
38357,0
38715,0
38715,0
38715,0
39154,0
39438,0
40007,0
40007,0
41286,0
41286,0
41414,0
42581,0
43087,0
43312,0
43661,0
44612,0
44612,0
45149,0
45185,0
45185,0
45185,0
45967,0
45967,1
47103,0
47103,0
47103,0
47221,0
47379,0
47846,0
47927,0
48115,0
48115,0
48215,0
48701,1
48701,0
48940,0
49034,0
49328,1
49428,0
50272,0
50417,0
50433,0
50719,0
50719,0
50834,0
50834,1
52782,0
53575,0
53854,0
54297,0
54297,1
55355,0
55355,1
55444,1
55557,0
56664,0
57066,0
57066,0
57597,0
57597,0
57714,1
57714,0
57714,0
57812,0
57812,0
57829,0
57829,0
57864,0
57864,0
57864,0
58042,1
58042,0
58300,0
58533,0
58909,0
58909,0
60447,0
60466,0
60774,0
60774,0
61526,0
62250,0
62284,0
62799,0
62799,0
63807,1
63807,0
63875,1
64317,0
64317,0
64488,0
64867,0
65014,0
65198,0
65198,0
65276,0
65295,1
65402,1
65402,0
65950,0
65950,0
66005,0
66533,0
67092,0
67552,0
67868,0
67868,0
67887,0
68870,0
68996,0
68996,0
68996,0
69141,0
69141,0
69276,0
70812,0
70935,0
70935,0
70935,0
71193,0
71222,0
71548,0
72098,0
72693,1
72693,0
72907,0
72907,0
73149,0
73468,0
73468,0
73468,0
74350,0
74428,0
74917,0
75031,0
75663,0
75663,0
76987,0
76987,1
77963,0
77963,0
78235,0
78240,0
78463,0
79588,0
79625,0
79867,0
79867,0
79867,0
81278,0
82187,0
82187,0
82407,0
82535,0
82535,0
82638,0
82844,0
83019,0
83062,0
83062,0
83303,0
83800,0
83811,0
83879,0
84301,0
84849,0
84849,0
85557,0
86237,0
86239,0
86823,0
86823,0
86823,1
86823,0
87651,1
87853,0
88352,0
88587,0
90386,0
90587,0
90632,0
91295,0
91295,0
91295,0
91689,0
91689,0
92971,0
92971,1
92971,0
93459,0
93499,0
94811,0
95146,0
95290,0
95431,0
95431,0
95431,0
95637,0
95637,0
95664,0
95664,0
96375,0
96482,0
97751,0
97751,0
98113,0
98383,0
98449,0
98523,0
99304,0
100488,0
102375,0
102596,0
103333,0
103812,0
104884,0
104940,0
105718,0
105718,0
106726,1
107053,0
107348,0
107413,0
107482,0
107521,0
107787,0
107889,0
108127,1
108127,1
108127,0
108127,0
108736,0
108796,0
109888,0
109930,0
110051,0
111180,0
111234,0
111319,0
111319,0
111434,0
111775,0
111775,0
111784,0
111977,0
112124,0
112124,0
112151,0
112151,0
112237,0
112353,0
112353,0
112358,0
112358,0
112358,0
112981,0
112981,0
114426,0
114426,0
114611,0
114611,1
114815,0
115520,0
115852,0
115990,0
116102,1
116102,1
116102,0
116761,0
116834,0
117004,0
117212,0
117287,0
117312,0
117317,0
117317,0
117317,0
117431,0
117854,0
118637,0
119253,0
119795,0
119795,0
119898,0
119898,1
119898,1
119898,0
120187,0
120187,0
120261,0
120382,0
121064,0
121078,1
121724,0
122719,0
123192,0
123233,0
123562,0
123562,0
123939,0
124147,0
124147,0
124432,0
125759,0
125990,0
125990,0
126244,0
126260,0
126538,0
127062,0
127381,0
127531,0
127553,1
127816,0
128039,1
128039,1
128039,0
128764,0
128773,0
128773,1
128780,0
129620,0
129659,1
129730,0
129730,0
129730,0
129730,0
129755,0
130284,0
131052,0
131519,0
131762,0
131762,0
131991,0
132469,1
132469,0
132601,0
133525,0
134253,0
134253,0
134253,0
134712,1
134960,0
135164,1
135164,0
135311,0
135311,0
135311,0
