ID,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
79915,0,1.42,0.92,-2.52
79915,1,1.31,0.48,0.42
80287,0,10.16,48.61,1.61
80848,0,0.02,-7.03,-2.69
81060,0,4.86,-9.37,-2.54
81861,0,-9.4,-22.43,0.41
82268,0,-3.24,-8.02,0.96
82541,0,-8.33,-6.04,-1.57
83305,0,2.47,1.44,2.73
85183,0,-1.79,35.73,-0.77
85183,1,-1.98,34.97,3.31
85535,0,7.86,-8.37,-1.54
85913,1,8.76,23.98,2.96
87674,2,8.76,32.98,3.96
87787,0,10.02,-6.03,-0.69
88018,0,-4.33,-8.04,0.43
88073,1,10.76,46.98,-1.04
88073,2,10.67,46.96,3.43
88881,0,-0.98,56.97,1.31
89553,0,-3.1,-7.18,-0.82
90010,0,4.38,17.88,3.97
90034,0,-2.58,-11.08,-0.52
90192,0,0.47,-8.56,-0.27
91361,0,10.49,4.36,-3.67
91841,0,9.41,-9.31,-3.05
92406,0,-2.14,-6.37,0.46
94469,0,0.02,-12.03,0.31
94531,0,0.49,4.36,1.33
95232,0,9.86,8.63,-0.54
96598,0,18.58,-4.18,1.18
96625,0,5.16,28.61,4.61
96625,1,6.38,32.88,12.97
96628,0,5.58,-2.18,-0.82
96628,1,4.41,-3.31,2.95
97925,0,-1.62,-3.12,-2.03
98143,1,-1.24,-17.02,-4.04
98608,0,18.67,7.96,-3.57
98959,0,5.47,28.44,4.73
99139,0,7.58,25.82,1.18
99139,1,6.41,24.69,4.95
99139,2,5.6,22.57,8.41
100254,1,10.58,4.82,-0.82
100537,0,2.49,-8.64,0.33
100682,0,14.6,27.57,3.41
100682,1,14.21,25.73,7.23
101412,0,6.31,-4.52,-0.58
101412,1,5.16,-7.39,3.61
101483,0,5.86,-5.37,-4.54
102024,0,6.9,7.82,-1.82
102421,0,-20.42,-25.18,-3.82
103686,1,2.9,7.82,3.18
103820,0,12.86,-2.37,1.46
103917,0,6.42,-2.08,-3.52
105434,1,-6.69,-9.52,1.42
106561,1,5.47,1.44,-3.27
106908,0,-4.58,-9.08,0.48
107077,0,1.31,21.48,-0.58
107151,0,16.16,33.61,-2.39
107643,1,9.41,29.69,6.95
107842,0,16.6,0.57,2.41
108072,0,1.42,1.92,-3.52
109360,0,4.76,1.98,2.96
109425,0,3.21,-2.27,-2.77
110396,0,0.16,5.61,2.61
110554,0,-9.98,-20.03,1.31
110647,0,7.76,2.98,-0.04
111505,0,18.38,6.88,-5.03
111505,2,16.41,3.69,1.95
112543,1,-2.33,1.96,0.43
113380,0,9.41,-0.31,-1.05
113753,0,5.76,-2.02,-2.04
115470,0,15.31,2.48,-6.58
115470,1,14.16,-0.39,-2.39
115697,0,-0.53,-16.56,1.73
115992,0,7.41,42.69,-2.05
116331,0,-8.59,-17.31,-3.05
118596,0,10.41,-0.31,-4.05
118633,0,11.31,-3.52,1.42
119229,0,4.76,-0.02,-2.04
119229,1,4.67,-0.04,1.43
119943,0,-2.79,-6.27,-1.77
119949,1,2.86,-5.37,-2.54
120054,0,3.02,4.97,-3.69
120201,0,-1.62,-2.12,-4.03
121660,0,7.41,-0.31,-0.05
121660,1,6.6,-2.43,3.41
123034,0,20.58,40.82,3.18
124241,0,8.16,-5.39,-2.39
124804,0,-2.1,-14.18,-1.82
125325,0,7.67,61.96,2.43
125422,0,3.02,16.97,-3.69
126475,0,-0.62,-4.12,-0.03
127190,0,1.47,-4.56,-4.27
128112,0,0.16,-7.39,-0.39
128757,3,2.86,-14.37,-1.54
128815,0,2.16,-10.39,-3.39
128997,0,-1.51,-2.64,-1.67
129521,0,-0.84,-11.39,-0.39
129523,1,0.47,7.44,3.73
129759,0,17.47,3.44,-3.27
130471,0,10.16,33.61,0.61
130734,0,-2.14,-17.37,-0.54
130734,1,-2.1,-16.18,7.18
131336,0,-5.69,9.48,1.42
131541,0,6.42,57.92,0.48
131761,0,12.16,-6.39,-5.39
132776,0,-10.1,9.82,1.18
132785,0,2.58,-4.18,-3.82
134278,1,1.41,5.69,0.95
134278,2,0.6,3.57,4.41
134278,3,0.21,1.73,8.23
22351,0,6.42,3.92,-0.52
36901,0,-2.62,-11.12,1.97
4636,0,-5.62,-7.12,4.97
17968,0,3.38,2.88,-1.03
97772,0,-1.51,19.36,3.33
116931,0,2.16,-8.39,-1.39
121106,0,9.86,-12.37,11.46
127872,0,14.38,44.88,8.97
66897,0,-4.4,19.57,7.41
58685,0,-10.53,-26.56,-7.27
28852,0,-3.59,-20.31,-1.05
119784,0,0.02,-3.03,-2.69
90157,0,8.58,19.82,-6.82
71798,0,-12.98,-15.03,-1.69
97822,3,-7.53,-8.56,4.73
36514,0,10.49,12.36,-0.67
88370,0,-4.62,-19.12,-0.03
126563,0,6.38,22.88,-0.03
68542,0,4.49,-10.64,-2.67
14684,0,7.58,2.82,-4.82
1426,0,3.47,12.94,4.73
23711,1,5.38,12.88,8.97
81417,0,-12.69,-14.52,-5.58
48572,0,0.38,-10.12,-0.03
30402,1,-0.58,2.92,2.48
52040,0,6.38,-0.12,-4.03
115784,0,6.21,-0.27,-4.77
127734,0,-0.24,-13.02,2.96
77982,0,5.58,-3.18,-5.82
87459,0,-14.4,-9.43,-5.59
101463,0,1.31,-12.52,-4.58
37431,0,-3.33,-2.04,0.43
50874,0,0.21,-8.27,1.23
606,0,0.67,-1.04,-3.57
43523,0,14.9,45.82,-0.82
24935,0,-1.59,34.69,2.95
2031,0,-7.59,-18.31,3.95
126563,0,5.58,20.82,3.18
90786,0,17.41,40.69,-3.05
77950,1,-4.51,-13.64,-3.67
51721,0,-12.14,-28.37,-4.54
108656,0,1.42,-1.08,-2.52
36902,0,2.49,-2.64,-3.67
106265,1,-0.4,12.57,4.41
74705,0,-5.53,-16.56,0.73
68662,0,-3.58,43.92,0.48
88210,0,-10.1,-12.18,-0.82
27098,0,-3.69,-13.52,3.42
87420,0,2.67,4.96,-1.57
16940,0,-5.1,-9.18,-0.82
12946,4,-8.98,-10.03,4.31
36441,0,5.6,5.57,0.41
13804,0,4.21,-18.27,-3.77
120026,0,-13.33,-14.04,0.43
109952,0,5.16,38.61,1.61
59084,0,-10.24,-9.02,2.96
112058,0,-4.69,-10.52,-0.58
5444,0,-5.1,-7.18,2.18
81049,0,-16.69,-13.52,-1.58
40863,0,-2.42,-9.18,3.18
78964,2,5.49,0.36,0.33
42655,0,-6.62,0.88,0.97
44597,0,6.86,34.63,-2.54
24941,0,12.41,-0.31,-1.05
79660,0,16.49,54.36,10.33
102972,0,0.16,-5.39,0.61
42418,0,-2.59,-10.31,-3.05
97522,0,-11.4,-17.43,-5.59
2164,0,-2.59,-3.31,1.95
112159,0,0.21,-7.27,-1.77
95936,0,10.21,35.73,2.23
99317,0,1.67,-6.04,6.43
1390,0,-16.51,-20.64,-2.67
35105,0,4.31,41.48,-0.58
110584,0,9.67,35.96,2.43
91239,0,0.31,-6.52,5.42
72406,0,-19.79,-22.27,-1.77
39838,0,13.21,49.73,-1.77
95969,0,2.41,4.69,-2.05
124044,0,-0.59,-6.31,-0.05
14731,0,-7.84,-6.39,2.61
16312,0,1.6,3.57,6.41
111326,0,-3.58,0.92,-4.52
1695,0,13.31,41.48,5.42
109085,0,-11.4,-24.43,0.41
33288,0,-2.1,-19.18,-1.82
16543,0,-2.14,-1.37,2.46
78013,0,-3.1,-13.18,-0.82
30551,1,3.76,2.98,-1.04
26370,0,6.02,-12.03,-2.69
91815,0,4.86,-7.37,-1.54
39924,0,-7.33,-13.04,-3.57
90804,0,8.38,8.38,0.97
42127,0,4.9,25.82,7.18
11143,2,11.41,54.69,10.95
91239,0,0.42,-6.08,1.48
94492,0,2.49,-9.64,3.33
23795,0,5.02,2.97,1.31
74290,0,-3.1,-20.18,-2.82
65854,2,-12.14,-27.37,7.46
39039,0,-3.4,-9.43,0.41
102439,1,12.49,-4.64,-0.67
68153,0,-8.42,-8.18,4.18
78659,0,-0.58,1.92,4.48
24719,0,-3.69,-4.52,1.42
55685,0,0.16,-4.39,-6.39
44157,0,4.16,-3.39,-0.39
503,0,11.31,-0.52,-2.58
129958,0,-2.33,-10.04,-1.57
66791,0,7.31,-3.52,4.42
108182,0,-5.98,-8.03,-3.69
116191,0,-6.98,-17.03,-1.69
93433,0,1.21,22.73,10.23
60449,1,2.42,-5.08,5.48
83834,0,-7.62,-11.12,3.97
