ID,Height,Age,Weight
16209,196.0,25.0,120.0
18455,190.0,23.0,102.0
22157,195.0,22.0,102.0
22737,183.0,31.0,100.0
22737,183.0,35.0,100.0
23195,195.0,22.0,109.0
25157,193.0,27.0,123.0
25157,193.0,31.0,123.0
25157,193.0,35.0,123.0
25284,198.0,31.0,125.0
30313,191.0,24.0,115.0
30623,178.0,24.0,86.0
38860,188.0,20.0,81.0
39535,185.0,24.0,81.0
39535,185.0,26.0,81.0
40215,186.0,20.0,84.0
41788,184.0,25.0,104.0
46275,207.0,26.0,120.0
50016,183.0,27.0,93.0
50258,185.0,22.0,85.0
52107,198.0,22.0,118.0
57370,197.0,29.0,125.0
63428,204.0,25.0,132.0
65668,183.0,22.0,95.0
69726,190.0,24.0,98.0
77152,193.0,25.0,130.0
77152,193.0,33.0,130.0
82709,196.0,27.0,120.0
86170,179.0,27.0,80.0
86233,185.0,30.0,79.0
87769,189.0,22.0,82.0
88073,192.0,20.0,125.0
96128,185.0,21.0,95.0
96625,188.0,37.0,110.0
98959,188.0,29.0,107.0
107151,199.0,22.0,115.0
109597,190.0,23.0,88.0
109597,190.0,25.0,88.0
123034,203.0,32.0,120.0
130471,193.0,33.0,115.0
