ID,Height
368,173.0
368,173.0
440,169.0
590,173.0
641,167.0
768,172.0
770,182.0
886,178.0
919,180.0
923,186.0
923,186.0
926,177.0
936,162.0
1162,193.0
1185,171.0
1260,171.0
1260,171.0
1311,169.0
1373,175.0
1511,175.0
1569,185.0
1673,188.0
1702,170.0
1711,167.0
1767,170.0
1804,180.0
1817,178.0
1839,160.0
1844,183.0
1866,179.0
1884,188.0
1909,179.0
1946,173.0
1959,172.0
1978,178.0
2033,178.0
2059,171.0
2080,185.0
2094,174.0
2131,170.0
2157,186.0
2165,174.0
2214,193.0
2467,180.0
2579,170.0
2943,165.0
2982,170.0
3273,174.0
3300,180.0
3340,180.0
3344,175.0
3407,185.0
4041,183.0
4070,163.0
4376,188.0
4380,166.0
4439,194.0
4550,173.0
4636,176.0
4681,170.0
4866,188.0
4944,177.0
4997,183.0
5001,188.0
5034,155.0
5034,155.0
5065,175.0
5289,194.0
5444,180.0
5456,179.0
5524,173.0
5583,162.0
5592,184.0
5975,180.0
6062,183.0
6214,172.0
6234,168.0
6264,188.0
6328,178.0
6697,181.0
6856,178.0
6901,180.0
6969,192.0
6995,170.0
7098,180.0
7340,170.0
7371,181.0
7532,201.0
7550,190.0
7563,190.0
7621,179.0
7656,178.0
7681,171.0
7771,184.0
8152,178.0
8161,170.0
8162,170.0
8181,180.0
8187,178.0
8469,171.0
8526,169.0
8603,178.0
8636,170.0
8982,173.0
9292,183.0
9337,188.0
9354,183.0
9527,188.0
9634,191.0
9753,178.0
9844,184.0
9935,180.0
10043,186.0
10129,183.0
10211,179.0
10462,182.0
10681,193.0
10785,180.0
10915,184.0
11032,187.0
11042,187.0
11067,194.0
11070,178.0
11087,185.0
11247,185.0
11369,187.0
11392,197.0
11611,172.0
11621,180.0
11840,188.0
11874,192.0
12069,180.0
12130,175.0
12398,180.0
12513,188.0
12597,187.0
12704,186.0
12802,170.0
13029,196.0
13058,177.0
13065,172.0
13223,176.0
13335,164.0
13658,178.0
13687,183.0
13769,173.0
13804,189.0
14285,194.0
14449,187.0
14495,188.0
14560,175.0
14733,182.0
15115,180.0
15160,185.0
15349,183.0
15488,178.0
15575,193.0
15607,179.0
15636,170.0
15907,194.0
16028,180.0
16074,180.0
16096,172.0
16295,186.0
16350,180.0
16407,177.0
16940,180.0
17287,176.0
17385,173.0
17464,180.0
17548,176.0
17618,188.0
17723,175.0
17784,173.0
18058,166.0
18101,176.0
18171,186.0
18171,186.0
18516,185.0
18835,175.0
18995,167.0
18996,167.0
19481,176.0
19572,170.0
19597,186.0
19631,180.0
19719,172.0
19882,191.0
19896,183.0
19919,160.0
20094,180.0
20119,176.0
20146,170.0
20178,172.0
20243,172.0
20338,178.0
20540,167.0
20680,162.0
20715,175.0
20770,186.0
20853,192.0
20907,191.0
21166,173.0
21547,184.0
21587,184.0
21714,172.0
21971,180.0
22010,180.0
22013,178.0
22022,176.0
22119,175.0
22146,193.0
22227,186.0
22247,177.0
22262,185.0
22397,183.0
22468,180.0
22504,190.0
22579,170.0
22976,185.0
23250,176.0
23341,195.0
23642,180.0
23711,187.0
23902,182.0
24040,190.0
24058,180.0
24075,177.0
24510,180.0
24555,184.0
24686,179.0
24742,193.0
24776,180.0
25223,172.0
25524,201.0
25546,186.0
25557,176.0
25655,176.0
25838,184.0
25870,180.0
25885,184.0
25919,183.0
25919,183.0
25919,183.0
26019,180.0
26192,175.0
26192,175.0
26194,178.0
26509,186.0
26514,171.0
26591,172.0
26691,181.0
26712,183.0
26793,186.0
26812,168.0
27232,175.0
27447,179.0
27666,175.0
27888,187.0
28061,173.0
28091,182.0
28091,182.0
28126,160.0
28139,186.0
28155,176.0
28184,185.0
28233,188.0
28681,168.0
28776,179.0
28778,183.0
28842,194.0
