,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Height_div_avg,Weight_div_avg,Age_div_avg,MedalEarned
56141,28768,Zachariah Ditetso,M,27.0,171.0,58.0,Botswana,BOT,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",,-9.32,-15.85,1.4,0
56151,28776,Allah Ditta,M,27.0,179.0,79.0,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Pole Vault,,0.53,6.56,1.95,0
56153,28778,"Bala ""Kuda"" Ditta",M,27.0,183.0,73.0,Malaysia,MAS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 110 metres Hurdles,,4.45,0.54,1.7,0
56154,28778,"Bala ""Kuda"" Ditta",M,27.0,183.0,73.0,Malaysia,MAS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,,4.45,0.54,1.7,0
56186,28788,Thomas Dittrich,M,25.0,186.0,85.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 110 metres Hurdles,,6.5,12.93,0.14,0
56242,28811,Walter Dix,M,22.0,175.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,Bronze,-6.57,3.27,-4.18,1
56243,28811,Walter Dix,M,22.0,175.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,Bronze,-6.57,3.27,-4.18,1
56263,28823,"Frederick Arthur ""Fred"" Dixon",M,26.0,193.0,85.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,12.85,10.36,1.12,0
56294,28834,"Rodney Phillip ""Rod"" Dixon",M,22.0,186.0,70.0,New Zealand,NZL,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",Bronze,6.98,-2.84,-3.23,1
56295,28834,"Rodney Phillip ""Rod"" Dixon",M,26.0,186.0,70.0,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Athletics,"Athletics Men's 5,000 metres",,5.85,-4.64,1.12,0
56296,28834,"Rodney Phillip ""Rod"" Dixon",M,34.0,186.0,70.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,6.81,-1.62,9.28,0
56307,28842,Slaven Dizdarevi,M,27.0,194.0,90.0,Slovakia,SVK,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,12.43,13.27,0.82,0
56310,28845,Jn Diriksson,M,25.0,194.0,79.0,Iceland,ISL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,,14.5,6.93,0.14,0
56311,28845,Jn Diriksson,M,25.0,194.0,79.0,Iceland,ISL,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",,14.5,6.93,0.14,0
56316,28850,Hadhari Djaffar Saindou,M,17.0,180.0,60.0,Comoros,COM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,-1.06,-15.31,-8.95,0
56317,28850,Hadhari Djaffar Saindou,M,21.0,180.0,60.0,Comoros,COM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,-1.49,-16.45,-5.03,0
56318,28850,Hadhari Djaffar Saindou,M,25.0,180.0,60.0,Comoros,COM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,-1.62,-16.88,-1.17,0
56320,28852,Houssein Djama Egueh,M,24.0,180.0,60.0,Djibouti,DJI,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,-0.32,-13.85,-1.6,0
56328,28857,Makarios Djan,M,29.0,170.0,65.0,Ghana,GHA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,,-9.19,-6.62,4.28,0
56331,28860,Ren Mldj Djdjml,M,26.0,186.0,80.0,Cote d'Ivoire,CIV,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,,6.81,8.38,1.28,0
56332,28860,Ren Mldj Djdjml,M,26.0,186.0,80.0,Cote d'Ivoire,CIV,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,6.81,8.38,1.28,0
56333,28860,Ren Mldj Djdjml,M,30.0,186.0,80.0,Cote d'Ivoire,CIV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,,6.32,6.93,4.7,0
56343,28867,Leslie Djhone,M,23.0,187.0,76.0,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,5.38,-0.88,-3.17,0
56344,28867,Leslie Djhone,M,23.0,187.0,76.0,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,,5.38,-0.88,-3.17,0
56345,28867,Leslie Djhone,M,27.0,187.0,76.0,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,5.43,-0.73,0.82,0
56354,28872,Kmob Djirmassal,M,30.0,186.0,80.0,Chad,CHA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,,6.81,8.38,5.28,0
56368,28880,Menzi Dlamini,M,33.0,167.0,80.0,Swaziland,SWZ,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,,-14.62,3.12,6.83,0
56371,28883,Sipho Dlamini,M,19.0,180.0,65.0,Swaziland,SWZ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,-0.32,-8.85,-6.6,0
56372,28883,Sipho Dlamini,M,19.0,180.0,65.0,Swaziland,SWZ,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,-0.32,-8.85,-6.6,0
56377,28887,Norman Dlomo,M,33.0,165.0,55.0,South Africa,RSA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,-16.57,-21.73,6.82,0
56391,28893,Piotr Dugosielski,M,23.0,176.0,64.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,,-5.49,-12.45,-3.03,0
56440,28917,Ruslan Hryhorovych Dmytrenko,M,26.0,180.0,67.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 20 kilometres Walk,,-1.84,-9.87,-0.29,0
56441,28917,Ruslan Hryhorovych Dmytrenko,M,30.0,180.0,67.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,,-0.9,-7.48,3.39,0
56483,28938,Clodoaldo Lopes do Carmo,M,24.0,172.0,60.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 3,000 metres Steeplechase",,-8.32,-13.85,-1.6,0
56484,28938,Clodoaldo Lopes do Carmo,M,28.0,172.0,60.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 3,000 metres Steeplechase",,-9.06,-15.31,2.05,0
56524,28958,Patryk Dobek,M,22.0,187.0,75.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,,6.1,0.52,-4.61,0
56525,28959,Norbert Dobeleit,M,24.0,185.0,82.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,5.32,8.93,-1.3,0
56526,28959,Norbert Dobeleit,M,24.0,185.0,82.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,5.32,8.93,-1.3,1
56530,28963,Pascal Dobert,M,26.0,185.0,68.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase",,3.51,-8.45,-0.03,0
56537,28969,Konrad Waldemar Dobler,M,35.0,178.0,63.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,-2.32,-10.85,9.4,0
56538,28969,Konrad Waldemar Dobler,M,39.0,178.0,63.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,-3.06,-12.31,13.05,0
56546,28976,Gbor Dobos,M,28.0,180.0,85.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,-1.62,8.12,1.83,0
56645,29015,Ian Dobson,M,26.0,188.0,70.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 5,000 metres",,6.43,-6.73,-0.18,0
56730,29063,Francis DoDoo,M,24.0,186.0,75.0,Ghana,GHA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Triple Jump,,6.81,3.38,-0.72,0
56731,29063,Francis DoDoo,M,28.0,186.0,75.0,Ghana,GHA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Triple Jump,,6.32,1.93,2.7,0
56732,29063,Francis DoDoo,M,32.0,186.0,75.0,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Triple Jump,,5.68,1.15,6.4,0
56733,29063,Francis DoDoo,M,36.0,186.0,75.0,Ghana,GHA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Triple Jump,,4.94,-0.31,10.05,0
56741,29069,Jeremy Dodson,M,28.0,180.0,72.0,Samoa,SAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,,-0.9,-2.48,1.39,0
56751,29075,"James F. ""Jim"" Doehring",M,26.0,183.0,120.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Shot Put,,3.32,46.93,0.7,0
56752,29075,"James F. ""Jim"" Doehring",M,30.0,183.0,120.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Shot Put,Silver,2.68,46.15,4.4,1
56778,29094,Musa Dogon Yaro,M,23.0,172.0,70.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,-7.07,-2.88,-2.23,0
56779,29094,Musa Dogon Yaro,M,23.0,172.0,70.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,,-7.07,-2.88,-2.23,0
56780,29094,Musa Dogon Yaro,M,27.0,172.0,70.0,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,,-7.02,-2.84,1.77,0
56796,29104,John James Doherty,M,27.0,175.0,60.0,Ireland,IRL,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",,-4.68,-13.07,1.7,0
56797,29104,John James Doherty,M,31.0,175.0,60.0,Ireland,IRL,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",,-5.32,-13.85,5.4,0
56813,29113,Carl Dohmann,M,26.0,183.0,62.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,,2.1,-12.48,-0.61,0
56846,29133,Ali Ismail Doka,M,23.0,178.0,77.0,Qatar,QAT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,-3.06,1.69,-2.95,0
56899,29156,"Zbigniew ""Bishop"" Dolegiewicz",M,23.0,196.0,134.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Discus Throw,,15.85,59.36,-1.88,0
56900,29156,"Zbigniew ""Bishop"" Dolegiewicz",M,31.0,196.0,134.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Shot Put,,16.81,62.38,6.28,0
56919,29164,Josef Doleal,M,39.0,173.0,67.0,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 50 kilometres Walk,,-5.47,-5.44,13.95,0
56987,29191,Marc Dollendorf,M,30.0,192.0,84.0,Belgium,BEL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,,10.94,8.69,4.05,0
57015,29206,Vladyslav Dolohodin,M,24.0,188.0,83.0,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,6.94,7.69,-1.95,0
57016,29206,Vladyslav Dolohodin,M,24.0,188.0,83.0,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,6.94,7.69,-1.95,0
57017,29207,James William Dolphin,M,25.0,183.0,79.0,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,1.43,2.27,-1.18,0
57055,29221,"Bohdan ""Don"" Domansky",M,22.0,180.0,77.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0.93,4.12,-3.23,0
57056,29221,"Bohdan ""Don"" Domansky",M,29.0,180.0,77.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,,-0.15,2.36,4.12,0
57057,29221,"Bohdan ""Don"" Domansky",M,29.0,180.0,77.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,,-0.15,2.36,4.12,0
57075,29231,Ztny Dombi,M,25.0,188.0,82.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,,6.51,5.55,-1.03,0
57077,29233,Lutz Dombrowski,M,21.0,187.0,87.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,Gold,7.5,14.93,-3.86,1
57078,29234,Ral Dome Sanhouse,M,26.0,178.0,75.0,Venezuela,VEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,,-1.07,2.12,0.77,0
57079,29234,Ral Dome Sanhouse,M,30.0,178.0,75.0,Venezuela,VEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,,-1.02,2.16,4.77,0
57090,29241,Yann Domenech,M,25.0,173.0,61.0,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,,-8.62,-15.88,-1.17,0
57107,29254,Wagner Jos Alberto Carvalho Domingos,M,33.0,187.0,100.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Hammer Throw,,6.1,25.52,6.39,0
57110,29256,Adauto Donizete Domingues,M,27.0,173.0,62.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 3,000 metres Steeplechase",,-6.68,-11.07,1.7,0
57127,29269,Jos David Domnguez Guimera,M,20.0,173.0,60.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk,,-8.49,-16.45,-6.03,0
57128,29269,Jos David Domnguez Guimera,M,24.0,173.0,60.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,,-8.62,-16.88,-2.17,0
57146,29280,Rafael Domnguez,M,26.0,155.0,68.0,Dominican Republic,DOM,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,,-24.07,-4.88,0.77,0
57232,29324,"Christopher Lindsey ""Chris"" Donaldson",M,21.0,188.0,80.0,New Zealand,NZL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,6.94,4.69,-4.95,0
57233,29324,"Christopher Lindsey ""Chris"" Donaldson",M,21.0,188.0,80.0,New Zealand,NZL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,6.94,4.69,-4.95,0
57264,29335,Massimiliano Donati,M,25.0,183.0,74.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,,1.38,-2.88,-1.17,0
57265,29336,Fabrizio Donato,M,24.0,189.0,83.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Triple Jump,,7.51,6.55,-2.03,0
57266,29336,Fabrizio Donato,M,27.0,189.0,83.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Triple Jump,,7.38,6.12,0.83,0
57267,29336,Fabrizio Donato,M,31.0,189.0,83.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,,7.43,6.27,4.82,0
57268,29336,Fabrizio Donato,M,35.0,189.0,83.0,Italy,ITA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Triple Jump,Bronze,7.16,6.13,8.71,1
57269,29336,Fabrizio Donato,M,39.0,189.0,83.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,,8.1,8.52,12.39,0
57274,29339,Fermn Walter Donazar Zabalza,M,27.0,173.0,71.0,Uruguay,URU,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,,-5.47,-1.44,1.95,0
57332,29366,Dong Bin,M,23.0,180.0,74.0,China,CHN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Triple Jump,,-1.84,-2.87,-3.29,0
57333,29366,Dong Bin,M,27.0,180.0,74.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,Bronze,-0.9,-0.48,0.39,1
