,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Height_div_avg,Weight_div_avg,Age_div_avg,MedalEarned
57533,29473,"Giuseppe ""Pino"" Dordoni",M,34.0,183.0,74.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 50 kilometres Walk,,4.53,1.56,8.95,0
57589,29494,Alfred Dring,M,31.0,180.0,71.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 3,000 metres Steeplechase",,1.45,-1.46,5.7,0
57597,29497,Troy Doris,M,27.0,172.0,74.0,Guyana,GUY,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,,-8.9,-0.48,0.39,0
57598,29498,Dudley S. Dorival,M,25.0,185.0,77.0,Haiti,HAI,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,,3.51,0.55,-1.03,0
57599,29498,Dudley S. Dorival,M,28.0,185.0,77.0,Haiti,HAI,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,,3.38,0.12,1.83,0
57600,29498,Dudley S. Dorival,M,32.0,185.0,77.0,Haiti,HAI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles,,3.43,0.27,5.82,0
57675,29530,Rainer Drner,M,27.0,176.0,63.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 3,000 metres Steeplechase",,-2.55,-9.46,1.7,0
57699,29542,Christian Dorosario,M,18.0,173.0,63.0,Senegal,SEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,-6.02,-9.84,-7.23,0
57700,29542,Christian Dorosario,M,22.0,173.0,63.0,Senegal,SEN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,,-7.15,-11.64,-2.88,0
57701,29542,Christian Dorosario,M,22.0,173.0,63.0,Senegal,SEN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,-7.15,-11.64,-2.88,0
